Airline,Flight_Number,Route,Departure_Airport,Arrival_Airport,Departure_Time,Arrival_Time,Delay_Minutes,Cancelled,Cancellation_Reason,Ticket_Price,Passenger_Count,Aircraft_Type,Distance_km,On_Time_Percent,Class,Loyalty_Member,Baggage_Allowance,Fuel_Surcharge,Gate,Terminal,Crew_Size
,5653,DOH-SIN,AMS,LOS,2022-02-13 05:34,2022-02-13 09:56,106,No,,334.77,144,A350,232,57.97,Business,Yes,23kg,30.61,B43,T2,4
Delta Air Lines,3968,DXB-SIN,CDG,JFK,2021-01-12 01:09,2021-01-12 05:57,30,,,256.71,2,A350,11927,100,Economy,No,1pc,45.87,X11,T1,12
Emirates,9628,NBO-LOS,DOH,DXB,2023-11-19 04:15,,30,No,,265.01,156,A350,12839,100,First,Yes,No,20.32,B25,T1,17
British Airways,9366,DOH-CDG,JFK,DOH,,2021-02-18 18:27,-8,No,,208.91,110,B777,2356,96.44,Business,No,20kg,19.59,T3,T1,6
,8837,,,DXB,2023-12-14 14:18,2023-12-15 00:09,27,No,,494.29,297,A380,10620,100,Business,No,2pc,20.91,I32,,11
British Airways,9857,NBO-ORD,DOH,ORD,2025-09-05 02:12,2025-09-05 10:32,33,-,,170.12,126,A380,4911,98.06,Business,,2pc,33.45,M12,T2,18
Kenya Airways,3931,-,LOS,LOS,2024-07-08 04:03,2024-07-08 11:44,52,No,,635.99,186,A380,5604,97.83,Business,Yes,20kg,30.53,F35,T1,15
KLM,5839,AMS-FRA,AMS,CDG,2024-10-02 12:29,2024-10-02 14:15,-24,No,,549.62,59,B737,5081,100,Economy,Yes,1pc,37.1,J39,,14
Singapore Airlines,5002,IST-LHR,,ATL,2025-01-24 00:08,2025-01-24 05:00,71,No,,392.14,205,B777,2434,70.08,Economy,No,1pc,29.24,Q49,,14
United Airlines,4761,LHR-ATL,AMS,AMS,2022-09-12 19:27,2022-09-13 01:31,29,No,,321.18,9,CRJ900,2586,100,Business,Yes,2pc,28.04,Z44,,4
Turkish Airlines,9484,FRA-LHR,JFK,LOS,2023-10-07 00:39,2023-10-07 10:24,39,No,,566.61,70,B777,4480,92.13,Economy,Yes,2pc,33.29,Q31,T4,17
American Airlines,2393,LAX-CDG,LOS,DXB,2025-03-18 10:40,2025-03-18 14:02,6,,,341.55,202,A320,12295,100,,No,23kg,46.96,C37,T1,17
United Airlines,6287,CDG-DOH,AMS,ATL,2024-04-17 06:59,2024-04-17 14:53,-22,No,,294.31,168,B777,9942,93.15,Economy,Yes,No,18.38,K1,,12
Air France,8614,IST-LHR,JFK,LOS,2023-08-18 20:05,2023-08-19 05:37,17,No,,577.74,247,A320,2759,100,First,No,20kg,20.8,S25,T4,14
Turkish Airlines,4157,LAX-FRA,AMS,CDG,2024-08-29 04:17,2024-08-29 11:29,22,No,,768.68,225,A350,2998,88.86,Economy,Yes,1pc,30.41,T2,,18
Turkish Airlines,,FRA-AMS,NBO,ATL,2023-10-17 09:43,2023-10-17 20:08,-40,No,,155.8,,A320,4906,85.18,Business,No,1pc,50.32,Q27,,19
,5471,IST-DXB,AMS,FRA,2021-05-09 11:40,2021-05-09 16:58,46,No,,434.96,67,B777,4129,68.97,First,No,1pc,19.28,K29,T2,5
South African Airways,8561,CDG-IST,FRA,FRA,2024-01-14 18:17,2024-01-15 06:12,54,No,,132.72,220,A320,566,98.83,-,Yes,1pc,29.9,C24,T4,18
British Airways,9641,CDG-LAX,JFK,ORD,2023-10-30 07:38,2023-10-30 16:28,,No,,450.33,214.0,A380,2635,65.73,First,Yes,23kg,21.23,N35,T4,6
British Airways,3254,DOH-ORD,FRA,ORD,2022-03-16 06:43,2022-03-16 07:54,-14,No,,194.36,287,A350,3991,100,First,No,2pc,33.98,U28,T1,9
South African Airways,6019,SIN-ORD,JFK,LOS,2022-02-07 03:31,2022-02-07 10:00,-25,No,,592.31,148,CRJ900,11527,93.57,Economy,,23kg,9.36,R26,T3,11
American Airlines,7543,FRA-ATL,LHR,ORD,2025-06-04 03:28,2025-06-04 10:25,2,No,,329.98,286,CRJ900,2354,63.53,Economy,Yes,23kg,19.64,I33,,19
American Airlines,1705,ATL-JFK,IST,ORD,2022-05-11 13:49,2022-05-11 21:36,15,No,,359.3,26.0,A320,12881,46.46,First,No,,42.78,Y2,T2,17
Air France,2501,FRA-LAX,IST,FRA,2024-06-07 14:55,2024-06-07 22:07,4,No,,676.22,111,CRJ900,11709,64.71,Economy,Yes,20kg,,D28,T4,11
KENYA AIRWAYS,7074,LOS-DOH,CDG,ATL,2024-02-14 14:10,2024-02-14 15:17,12,No,,203.4,5.00,B777,1113,93.35,Economy,No,No,22.55,Z34,T4,5
United Airlines,6851,LHR-CDG,LOS,JFK,2025-05-01 05:45,,23,No,,486.97,218,B737,447,-,Economy,No,23kg,29.54,S25,T2,6
Turkish Airlines,1442,ORD-AMS,LOS,CDG,2022-01-13 07:27,2022-01-13 14:14,-39,No,,,100,B777,646,79.76,Business,,20kg,29.37,Z45,T1,7
British Airways,1611,NBO-IST,FRA,LHR,2022-05-03 03:28,2022-05-03 05:57,-35,No,,589.26,204,CRJ900,1781,84.82,Economy,No,23kg,35.61,K47,T4,9
Singapore Airlines,1118,DOH-CDG,JFK,-,2023-09-28 15:16,2023-09-29 03:03,-93,No,,707.35,240.0,B737,3324,100,Business,No,20kg,9.24,L7,,9
Delta Air Lines,7061,SIN-LOS,LOS,LHR,2020-08-28 17:34,2020-08-28 23:49,52,No,,297.42,267,B737,2320,86.48,Business,No,20kg,19.63,D45,T3,-
South African Airways,2230,LOS-SIN,SIN,LOS,2022-06-06 17:26,2022-06-06 21:23,15,No,,88.82,35,B777,7533,97.59,Business,Yes,,20.45,P12,T2,16
Kenya Airways,7902,JFK-FRA,IST,ATL,2021-12-29 13:06,2021-12-29 23:05,56,No,,-,235,B777,8824,100,Business,No,20kg,36.29,-,T2,4
Kenya Airways,3619,AMS-JFK,IST,AMS,2022-04-24 04:32,2022-04-24 06:12,-30,No,,836.53,161,B737,10089,94.67,First,Yes,20kg,29.94,W5,T2,14
KLM,7409,ATL-DXB,,IST,2022-11-09 10:36,2022-11-09 19:57,15,No,,231.58,76,A350,3006,85.27,First,No,20kg,44.41,I7,T1,14
British Airways,1379,-,IST,LHR,2022-09-20 07:16,2022-09-20 10:40,23,No,,704.2,133,CRJ900,9122,74.98,First,No,23kg,38.29,I7,T3,13
KLM,6150,IST-LAX,,LAX,2024-08-05 04:40,,-7,No,,228.74,283,CRJ900,11001,93.81,Economy,Yes,No,26.54,J7,,4
Qatar Airways,8722,AMS-CDG,IST,DOH,2020-09-07 08:18,2020-09-07 16:58,-47,No,,223.8,34,B737,11211,91.18,Economy,No,2PC,29.5,-,,4
Singapore Airlines,6698,ORD-ATL,ATL,LHR,2021-03-05 21:55,2021-03-06 08:12,84,No,,505.84,127,B737,2839,77.94,Economy,Yes,2pc,42.94,Q24,T4,11
Delta Air Lines,9737,ORD-LOS,DOH,LAX,2021-04-13 14:44,2021-04-14 00:50,70,No,,481.87,173,B777,4537,88.94,Business,No,23kg,44.33,L39,T1,5
Ethiopian Airlines,9258,ORD-DXB,JFK,CDG,2021-12-19 12:06,2021-12-19 17:18,0,No,,520.43,124,,11051,84.28,Business,No,No,29.04,X48,T1,10
British Airways,8602,LOS-LAX,LOS,FRA,2023-04-05 01:10,2023-04-05 08:39,,No,,350.98,249,B777,4063,88.83,Business,No,20kg,20.15,Z15,,15
KLM,6568,JFK-LHR,LOS,SIN,2021-04-19 17:59,2021-04-20 04:52,35,No,,556.87,197,B737,5654,86.96,Economy,Yes,-,8.99,H12,T1,12
Emirates,4420,ATL-AMS,,IST,2021-10-26 17:28,2021-10-26 22:43,-4,No,,542.3,137,A320,1205,100.0,Economy,No,2pc,8.99,T25,T4,14
South African Airways,9673,ATL-LHR,LOS,LHR,2020-07-18 13:15,2020-07-18 21:44,-24,No,,579.81,80,B777,10697,,Economy,No,2pc,34.72,N43,,7
Air France,,SIN-DOH,DOH,DOH,2023-07-12 22:47,2023-07-12 23:56,88,No,,225.29,263,A380,9801,68.58,Economy,Yes,No,34.52,P42,T4,20
South African Airways,,FRA-DXB,LOS,IST,2023-06-20 08:48,2023-06-20 13:49,-51,No,,556.73,117,A380,13899,87.47,Business,Yes,No,23.25,U37,,8
South African Airways,7310,LHR-ORD,CDG,LOS,2022-10-25 00:18,2022-10-25 05:28,3,-,,245.73,112,A320,8200,100.0,Business,Yes,No,43.01,U22,,6
KLM,8120,ATL-IST,IST,DXB,2024-08-12 20:01,2024-08-12 21:05,18,No,,318.58,,A350,9492,67.85,First,Yes,20kg,27.93,T36,T1,8
Qatar Airways,6930,AMS-LAX,LAX,CDG,2023-12-18 13:50,2023-12-18 16:48,81,No,,314.47,107,CRJ900,1770,79.18,First,No,No,24.12,N3,T4,16
Turkish Airlines,2768,LAX-NBO,AMS,DXB,2023-07-15 18:22,2023-07-16 01:35,50,No,,150.38,183,B777,11900,78.49,Business,Yes,2pc,41.71,L41,T3,6
South African Airways,2464,,FRA,LHR,2020-07-12 10:52,2020-07-12 12:56,-51,,,2.9,123,A320,4022,78.89,First,Yes,No,40.39,A16,T2,18
Ethiopian Airlines,8386,DXB-FRA,LOS,AMS,2021-10-04_14:41,2021-10-04 18:06,14,No,,594.74,187,B777,5699,100,Economy,No,2pc,29.48,H36,,15
South African Airways,2182,JFK-DOH,SIN,,2023-07-29 08:10,2023-07-29 12:53,15,No,,209.55,69,A380,3972,80.28,First,No,20kg,35.18,Y39,T2,20
Singapore Airlines,8042,DXB-SIN,ORD,NBO,2023-04-25 01:29,2023-04-25 06:27,5,No,,296.05,203,A380,12634,69.23,First,Yes,2pc,36.44,Q37,,17
Ethiopian Airlines,7599,CDG-NBO,DXB,FRA,2024-12-19 16:07,2024-12-19 20:03,39,No,,203.86,21,CRJ900,2850,97.2,Business,No,2pc,51.75,R15,T1,19
Turkish Airlines,2219,FRA-IST,LOS,AMS,2020-03-01 16:24,2020-03-01 22:05,-,No,,298.67,267,CRJ900,10098,100,Business,No,2pc,28.69,C37,T2,15
American Airlines,8508,LHR-LOS,DOH,FRA,2024-11-23 14:35,2024-11-23 16:37,,No,,248.82,275,B737,5487,84.52,Business,,No,18.2,V50,T2,4
KLM,8769,ORD-LAX,DXB,FRA,2023-03-27 19:15,2023-03-27 23:51,-1,No,,605.82,177,B777,6436,89.51,Business,Yes,No,36.25,Y26,T2,14
United Airlines,2034,FRA-JFK,JFK,IST,2024-01-21 22:11,,34,No,,231.9,96,A380,2109,100,Economy,Yes,1pc,30.62,C18,T4,19
Lufthansa,3583,DOH-LHR,DOH,,2020-01-19 07:38,2020-01-19 18:47,42,No,,692.91,92,A380,10623,80.92,Economy,Yes,23kg,31.12,N12,,15
Air France,7561,DXB-CDG,FRA,LAX,2022-12-28 21:02,2022-12-28 23:46,20,No,,577.85,286,B777,8141,82.05,First,No,23kg,29.69,J42,,14
South African Airways,7855,FRA-ATL,LHR,LOS,2022-07-16 18:10,2022-07-16 20:48,3,No,,255.11,239,B777,6931,100,Economy,No,20kg,14.09,B31,,18
Emirates,634,LAX-ATL,ORD,LOS,2023-04-26 15:30,2023-04-27 01:00,10,No,,413.96,121,CRJ900,3211,61.66,First,Yes,2pc,32.61,D43,T3,18
Singapore Airlines,2669,CDG-LAX,ATL,CDG,2023-07-25 20:29,2023-07-26 03:53,44,No,,453.87,148,A350,9840,78.73,First,No,1pc,26.41,M18,T2,11
American Airlines,,CDG-LOS,AMS,ATL,2024-07-30 04:38,2024-07-30 12:22,16,No,,518.32,15,B737,4798,100,Business,Yes,20kg,26.91,S38,,14
Lufthansa,6151,FRA-LHR,NBO,IST,2024-08-23 18:34,2024-08-24 04:11,-26,No,,538.09,47,CRJ900,14851,77.72,First,-,No,26.02,R25,T3,17
,2045,DOH-ORD,JFK,IST,2025-02-17 05:46,2025-02-17 14:41,-34,No,,387.33,43,CRJ900,12267,78.15,Economy,Yes,,29.61,H26,,6
British Airways,9956,NBO-DOH,LHR,DXB,2021-11-16 04:33,2021-11-16 16:17,-44,No,,159.12,130,B737,11608,68.77,First,No,23kg,32.6,F27,T4,14
KLM,6794,JFK-LOS,LAX,JFK,2024-02-25 21:01,2024-02-26 05:17,73,No,,478.18,250,A380,8710,99.36,First,,23kg,29.71,I25,T1,7
Lufthansa,1907,AMS-ATL,SIN,LAX,2021-11-12 17:15,2021-11-12 18:37,47,No,,302.7,155,A380,4702,77.5,First,No,No,41.55,R6,T3,20
Emirates,2080,FRA-LOS,SIN,IST,2022-04-27 23:31,2022-04-28 09:55,10,No,,207.84,233,A380,6883,93.55,Business,No,20kg,37.56,U40,T2,20
Delta Air Lines,6155,DXB-AMS,AMS,SIN,2023-09-16 02:17,2023-09-16 10:54,-3,No,,428.06,168,B777,12246,98.35,Business,,23kg,29.27,S11,T4,4
Ethiopian Airlines,9467,LAX-IST,DXB,SIN,2024-02-17 20:05,2024-02-17 22:27,-7,No,,203.18,139,B737,8198,100,Economy,No,2pc,19.65,Y10,T4,13
Ethiopian Airlines,4844,FRA-DXB,DOH,DOH,2020-03-31 04:14,2020-03-31 07:38,58,No,,258.32,250,B777,13304,100,Business,No,32KG,35.81,P28,,7
South African Airways,759,DOH-NBO,CDG,LHR,2023-04-23 03:17,2023-04-23 05:41,91,No,,351.2,103,A380,6357,81.89,Business,Yes,1pc,26.85,S20,T4,10
Delta Air Lines,8665,LOS-ORD,DOH,LHR,2022-11-10 07:38,2022-11-10 09:55,-9,No,,39.27,230,A320,4883,94.1,Business,No,No,28.29,F41,,18
Turkish Airlines,2611,LHR-IST,AMS,LHR,2025-09-09 02:49,2025-09-09 11:25,60,No,,377.81,237,,1117,100,Economy,No,20kg,16.81,Q10,T3,8
British Airways,2029,NBO-FRA,FRA,FRA,2025-10-11 00:29,2025-10-11 01:29,16,No,,286.66,,A350,14939,88.87,Business,Yes,20kg,34.14,F35,T2,18
American Airlines,6186,IST-DOH,LAX,ORD,2023-06-10 04:02,2023-06-10 05:52,6,No,,174.56,141,A350,12776,72.63,Business,-,,55.93,J25,T4,5
British Airways,5095,LHR-NBO,FRA,SIN,2021-05-27 18:37,2021-05-28 03:02,75,No,,359.25,20,A350,9004,100,Economy,No,20kg,24.94,P23,,13
Delta Air Lines,6235,ORD-AMS,DXB,ATL,2023-12-23 03:08,2023-12-23 11:36,14,No,,11.96,294,A350,12547,100,Business,No,1pc,36.23,O10,T4,20
KLM,5068,DOH-LOS,SIN,ORD,2021-01-31 12:37,,26,-,,365.13,213,A320,14916,83.39,,No,1pc,42.46,H30,T2,5
Kenya Airways,4916,SIN-FRA,LAX,ATL,2025-04-17 06:50,2025-04-17 08:23,,No,,444.12,234,CRJ900,14297,100,First,No,23kg,24.77,B3,T4,16
Emirates,8061,LHR-DOH,ORD,ORD,2024-07-17 11:08,2024-07-17 17:55,24,No,,411.05,273,A380,9966,98.01,Economy,No,No,5.75,F39,,8
Ethiopian Airlines,558,DOH-LHR,LHR,LOS,2020-03-24 18:45,2020-03-24 21:19,-50,No,,507.78,34,A380,14424,84.8,Business,No,23kg,36.96,L5,T3,19
South African Airways,2440,FRA-CDG,IST,LOS,2023-05-09 04:16,2023-05-09 06:27,26,No,,583.07,158,,7643,98.42,Business,Yes,1pc,30.79,W35,T2,11
Qatar Airways,,IST-ATL,CDG,JFK,,2025-01-13 08:53,-7,No,,333.73,186,B737,-,100,Business,No,2pc,33.11,J17,T1,19
,9760,IST-DOH,CDG,JFK,2024-10-19 12:06,2024-10-19 15:39,-41,No,,569.09,199,A380,9703,100,First,Yes,No,30.55,X45,,11
Qatar Airways,7010,JFK-AMS,LOS,LOS,2025-08-21 20:50,2025-08-22 01:59,-5,,,332.98,172,A350,6145,100,Business,No,No,41.6,,,18
American Airlines,897,LAX-IST,DOH,ATL,2020-03-25 04:52,2020-03-25 13:09,-6,No,,210.11,294,B777,3731,99.5,First,No,No,29.02,C22,,20
United Airlines,5099,CDG-DOH,LOS,IST,2020-09-17 19:34,2020-09-17 22:31,56,No,-,271.45,245,CRJ900,6359,74.15,Business,Yes,No,51.71,F43,T4,14
KLM,4744,LAX-CDG,ATL,DXB,,2025-06-20 04:58,-27,No,,403.4,230,A380,1332,,Business,No,1pc,36.98,O22,T3,
Kenya Airways,3632,LOS-NBO,LHR,ORD,2023-08-24 15:41,2023-08-24 21:08,-16,No,,567.04,119,B737,4706,89.46,Business,Yes,,40.11,J8,T3,5
Turkish Airlines,3099,LOS-DXB,LHR,DOH,2021-02-25 14:29,2021-02-25 16:22,24,,,350.29,197,A380,256,78.48,-,YES,23kg,30.07,U33,T4,5
Lufthansa,8108,FRA-JFK,LAX,LHR,2023-12-05 10:43,,-38,No,,215.27,48,B737,9241,100,Business,Yes,No,33.11,S5,T3,5
Lufthansa,134,DOH-LOS,LAX,SIN,2021-07-18 14:41,2021-07-18 22:09,-11,No,,638.85,16,B777,3300,100,First,No,1pc,13.1,D49,T3,13
Singapore Airlines,,NBO-AMS,JFK,DOH,2020-06-05 05:29,2020-06-05 13:09,-51,No,,63.04,102,B737,204,62.23,Business,No,23kg,24.23,I50,T4,14
British Airways,9070,JFK-DXB,AMS,DXB,2022-03-19 06:39,2022-03-19 18:02,51,No,,216.56,128,CRJ900,10717,98.93,First,No,No,40.78,D20,T4,13
KLM,5812,NBO-SIN,LHR,LAX,2023-03-23 20:01,2023-03-24 02:03,2,No,,528.56,10,A380,7817,79.22,Business,Yes,1pc,29.33,O9,,
Turkish Airlines,1206,DOH-LHR,IST,CDG,2022-10-14 01:11,2022-10-14 05:37,14,No,,703.29,175,A320,-,87.62,First,No,23kg,18.75,J2,T3,14
Qatar Airways,832,DOH-CDG,IST,ATL,2021-10-19 14:32,2021-10-19 19:20,51,No,,446.14,240,A320,9988,-,Business,Yes,2pc,23.16,J4,T2,6
Turkish Airlines,6941,FRA-AMS,IST,DOH,2023-11-13 16:50,2023-11-14 03:27,,No,,399.98,105,B777,1080,75.69,Business,No,23kg,23.08,B5,T2,11
,7983,FRA-ATL,IST,LHR,2022-10-12 11:23,2022-10-12 13:37,-13,No,,291.83,205,A350,6624,85.83,First,Yes,1pc,29.61,S39,T2,7
Kenya Airways,9489,IST-DXB,AMS,DOH,2022-11-14 13:51,2022-11-14 22:05,2,No,,459.61,277,A320,4230,84.18,Economy,No,No,21.66,A19,T4,5
KLM,5174,JFK-IST,DXB,IST,2023-03-23 21:41,,-27,No,,375.87,297,A350,14882,71.81,Business,No,20kg,44.23,R6,T3,6
South African Airways,9369,CDG-NBO,LAX,LAX,2022-05-14 12:19,2022-05-14 20:20,-27,No,,199.09,49,A380,4090,96.15,Economy,No,20kg,32.08,V16,T4,9
Emirates,7511,FRA-ATL,IST,IST,2023-08-02 18:09,2023-08-03 00:14,-21,No,,288.2,26,CRJ900,6372,66.67,First,No,1pc,16.04,M46,T3,5
KLM,5634,AMS-ATL,NBO,AMS,2022-02-22 18:43,2022-02-22 21:20,-4,No,,176.51,265,A380,1097,,Business,Yes,23kg,45.36,P10,T4,18
British Airways,6281,SIN-LOS,ORD,LHR,2020-09-11 11:22,2020-09-11 17:56,0,No,,352.72,10,A350,2311,88.85,Business,No,1pc,29.54,X2,T3,13
South African Airways,7886,ATL-LOS,LAX,SIN,2024-01-01 04:37,2024-01-01 12:51,26,No,,382.37,150,B737,8148,80.56,Economy,No,No,35.06,K13,T4,7
British Airways,2275,LAX-LHR,LOS,DXB,2020-03-01 05:19,2020-03-01 13:45,-20,No,,676.88,56,,3275,100,Business,Yes,1pc,33.07,R49,,7
Air France,2369,ATL-LAX,IST,DOH,-,2024-08-03 04:06,27,No,,230.52,254,A350,2198,69.27,Business,No,No,34.17,I23,T4,11
United Airlines,8370,IST-DOH,IST,AMS,2020-06-10 19:47,2020-06-11 00:55,34,No,,313.84,160,B777,12018,82.86,First,Yes,-,26.56,Y39,T4,7
Qatar Airways,7651,IST-ATL,LOS,ATL,2022-12-23 06:56,2022-12-23 10:41,-3,No,,601.84,219,A380,5678,40.49,First,Yes,23kg,33.31,R47,,9
British Airways,7471,NBO-DXB,NBO,ATL,2021-11-27 15:12,2021-11-28 00:12,-17,No,,711.02,142,CR9J00,7131,58.79,First,-,20kg,28.51,N28,T4,19
British Airways,7457,LOS-LAX,LOS,LAX,2025-07-12 22:15,2025-07-13 04:49,18,No,,444.94,109,B777,7898,90.16,Business,Yes,20kg,33.62,B35,T3,18
Air France,2504,ORD-DOH,LAX,ATL,2020-08-01 04:33,2020-08-01 14:34,6,No,,299.29,16,A320,13954,-,Business,Yes,23kg,28.14,M33,,11
Lufthansa,5428,IST-CDG,NBO,AMS,2025-07-17 22:20,2025-07-18 01:05,23,No,,255.4,242,A350,12062,77.29,Business,Yes,23kg,27.1,G24,T2,7
Lufthansa,1563,NBO-LOS,DOH,JFK,2020-05-05 01:51,2020-05-05 12:13,77.0,No,,-,82,CRJ900,2884,86.53,Economy,Yes,23kg,15.38,D7,T2,15
Turkish Airlines,6811,SIN-LAX,ATL,JFK,2020-04-06 09:45,2020-04-06 12:05,17,No,,164.45,53,A350,7104,100,Economy,Yes,20kg,29.95,D50,T2,5
Qatar Airways,6444,ORD-LHR,,LOS,2022-02-07 06:46,2022-02-07 09:58,-10,No,,370.31,257,CRJ900,1328,100,Business,Yes,,,A24,T3,14
South African Airways,3914,LOS-DOH,IST,IST,2021-09-11 09:24,2021-09-11 12:41,-20,No,,,259,B737,8226,89.93,First,Yes,20kg,48.49,H6,T3,8
Ethiopian Airlines,6578,ORD-LOS,LHR,LAX,2020-03-04 07:38,2020-03-04 11:41,-19,No,,474.68,,B737,12420,97.43,First,Yes,20kg,34.79,B16,T3,15
KLM,5654,LAX-JFK,ORD,ATL,2025-04-14 10:08,2025-04-14 17:48,-43,No,,310.96,232,B737,12991,86.62,Economy,No,No,22.75,R16,T4,4
Ethiopian Airlines,8963,IST-FRA,IST,CDG,2021-04-18 10:27,2021-04-18 16:56,52,No,,204.79,34,A320,3440,69.41,Business,Yes,23kg,19.85,-,T1,11
United Airlines,850,DXB-AMS,LHR,NBO,2022-01-11 03:12,,-74,No,,418.27,217,CRJ900,,77.03,First,No,2pc,32.67,L11,T4,4
Singapore Airlines,7359,FRA-ATL,ORD,LHR,2021-01-27 03:43,2021-01-27 05:51,34,No,,851.05,295,B777,3264,100,Economy,Yes,No,22.55,Z49,T3,13
Singapore Airlines,4644,LOS-DOH,DXB,AMS,2024-01-11 07:16,2024-01-11 17:21,,No,,286.53,51,A380,9828,76.13,Business,Yes,2pc,24.32,K17,T1,5
Kenya Airways,1550,IST-JFK,FRA,IST,2025-09-10 22:28,2025-09-11 00:20,-5,No,,377.78,198,B737,2585,100,Business,Yes,20kg,22.52,D21,T3,-
American Airlines,2813,FRA-JFK,IST,ATL,2020-12-21 09:29,2020-12-21 17:58,-20,No,,519.39,163,A320,4975,100,First,Yes,20kg,26.71,Z15,T1,20
Ethiopian Airlines,506,DOH-ORD,DXB,IST,2024-10-18 04:37,2024-10-18 09:01,72,No,,,259,CRJ900,5463,84.28,Business,Yes,2pc,37.36,N21,,14
Emirates,9471,LHR-FRA,LOS,LHR,-,2021-11-08 07:41,15,No,,604.55,236,B737,13498,100,Economy,Yes,23kg,,H49,T3,13
Air France,5160,LAX-ATL,AMS,IST,2023-12-15 19:26,2023-12-15 21:08,46,Yes,,34.19,92,CRJ900,10001,99.63,Business,Yes,No,42.95,D7,,16
South African Airways,9292,JFK-LAX,SIN,AMS,2022-03-07 02:54,2022-03-07 05:44,67,No,,268.45,118,A350,11152,75.09,Economy,No,1pc,27.96,R42,,12
Ethiopian Airlines,2128,ORD-LAX,JFK,LAX,2023-02-20 02:49,2023-02-20 06:51,21,No,,287.76,210,B777,9132,80.14,Business,No,1pc,23.66,N30,T3,5
United Airlines,9264,SIN-LHR,ATL,SIN,2021-06-05 07:15,2021-06-05 09:49,-32,No,,380.23,126,A350,9574,95.58,Business,,1pc,38.88,U26,T1,16
,1495,LOS-IST,IST,CDG,2025-02-25 10:38,2025-02-25 17:51,6,No,,44.3,157,B777,7911,100,Business,No,1pc,27.94,J13,,18
Emirates,3252,AMS-ATL,IST,ORD,2025-03-01 15:39,2025-03-02 01:18,-14,No,,620.55,35,A320,11794,100,First,Yes,1pc,19.53,T14,T2,13
British Airways,8977,DXB-LOS,IST,SIN,2020-12-21 20:11,2020-12-22 03:10,-5,No,,432.84,60,A380,7580,60.87,Business,NO,20kg,14.78,F1,T1,11
KLM,9551,LOS-CDG,-,CDG,2021-05-23 19:15,2021-05-24 00:55,11,No,,574.57,16,B777,14371,75.5,First,No,1pc,36.95,H44,T3,19
South African Airways,966,ATL-CDG,LHR,NBO,2022-08-24 08:44,2022-08-24 12:58,9,No,,672.61,135,CRJ900,7652,68.65,Business,No,20kg,-,U47,,15
Qatar Airways,9442,SIN-ORD,LAX,LAX,2020-12-01 20:25,2020-12-02 00:39,31,No,,201.89,275,A320,3402,86.16,Economy,Yes,No,25.87,V16,T4,12
South African Airways,8648,NBO-AMS,LAX,FRA,2024-12-02 21:51,2024-12-03 00:23,37,No,,148.87,169,B777,9111,95.27,,No,20kg,43.21,C40,,14
British Airways,3203,FRA-IST,ORD,DXB,2020-03-20 18:43,2020-03-20 20:43,9,No,,579.27,225,B777,12099,76.42,First,Yes,2pc,30.36,Q41,T1,4
Turkish Airlines,7896,JFK-SIN,LAX,DOH,2022-08-27 05:13,2022-08-27 16:46,31,No,,292.72,284,A350,12344,70.77,Economy,Yes,2pc,43.28,L13,T1,11
Ethiopian Airlines,8335,NBO-ORD,LOS,,2024-11-23 22:30,2024-11-24 00:20,-6,No,,123.37,214,CRJ900,3168,97.2,Business,Yes,,20.43,R30,T4,10
Kenya Airways,405,CDG-LAX,DOH,LOS,2025-10-05 10:40,2025-10-05 18:22,67,No,,465.26,230,A320,11524,100,First,Yes,1pc,19.2,M6,T2,19
,2070,JFK-ATL,LOS,LOS,2023-03-12 00:54,2023-03-12 01:58,-7,No,,842.71,56,B737,5127,100,Business,Yes,23kg,24.86,N47,T4,19
Delta Air Lines,8813,LAX-AMS,DXB,LHR,2023-05-17 08:41,2023-05-17 17:26,62,No,,328.22,74,A320,3382,100,Business,Yes,2pc,26,W9,T4,17
United Airlines,3044,NBO-IST,NBO,LHR,2021-09-08 04:32,2021-09-08 15:35,-44,No,Technical,-,197,A320,8432,79.97,Economy,No,2pc,41.51,I13,,13
KLM,410,NBO-CDG,SIN,SIN,2020-08-24 02:42,2020-08-24 12:35,0,No,,152.5,167,A320,2759,98.94,First,No,23kg,32.93,B1,,12
Kenya Airways,4604,ORD-LOS,ATL,LHR,2025-01-13 14:00,2025-01-13 21:44,1,No,,12.65,244,A320,1249,76.02,First,Yes,,22.41,B12,T2,12
Delta Air Lines,3471,JFK-SIN,ORD,LHR,2025-05-02 18:34,2025-05-03 04:06,-,No,,532.79,81,B737,4777,60.49,Business,No,1pc,30.11,M18,T3,11
South African Airways,4118,ATL-LHR,JFK,SIN,2022-01-24 12:09,2022-01-24 23:53,49,No,,459.21,281,,7280,-,Economy,No,23kg,25.72,A32,T2,12
American Airlines,9595,DOH-LOS,ORD,FRA,2020-11-12 14:18,2020-11-12 19:10,-34,No,,256.86,34,A380,2922,90.24,First,Yes,,21.96,Z11,,5
Singapore Airlines,7378,ORD-ATL,FRA,ORD,2022-07-25 23:38,2022-07-26 09:21,-29,No,,691.24,283,B777,9932,81.77,First,Yes,2pc,29.2,K11,T4,16
United Airlines,1486,AMS-LOS,IST,ATL,2025-10-26 22:03,2025-10-27 04:48,-41,No,,2.9,73,A350,2821,98.62,Economy,No,2pc,28.09,L37,T4,14
Air France,8841,FRA-ATL,SIN,NBO,2025-02-08 09:56,2025-02-08 11:41,67,No,Crew,-,300,CRJ900,2915,,First,Yes,20kg,22.34,S29,T2,4
